cohort,harvest,n,log_rmse,obs_last,pred_last
2N,SUM159-2N-0-O_harvest,10,0.6410520809590914,1729.647,1968.46192724748
2N,SUM159-2N-0-RL_harvest,10,0.26872663410278425,2622.36,1968.46192724748
2N,SUM159-2N-0-RR_harvest,10,0.28544848511134585,3375.352,1968.46192724748
2N,SUM159-2N-0-R_harvest,10,0.40599114853615464,1683.136,1968.46192724748
4N,SUM159-4N-0-0_harvest,11,0.5487832939975451,3914.144,3125.92985304771
4N,SUM159-4N-0-L_harvest,14,1.0971902489318257,5899.278,1589.45920132992
4N,SUM159-4N-0-RR_harvest,14,0.9490189760374513,2423.025,3125.92985304771
4N,SUM159-4N-0-R_harvest,13,0.23896259320095992,2096.976,1589.45920132992
